municode,iid,choice1,blue1,win1,group,grpmem,cogrpmem,idgroup,choice2,blue2,win2,renegade,renegadewin,head,urbr_2,female,yage,ysch,married,tcons,lcons,survhhsz,familyoutdeg,friendsoutdeg,insample
1,123,2,0,2700,1,2,1,101,5,0,1000,0,0,0,0,0,35,3,0,37955.691,10.544175,5,0,1,1
1,124,2,0,2700,1,2,1,101,3,0,2400,0,0,1,0,1,40,5,0,427636,12.966027,10,0,3,1
1,108,3,0,2400,1,5,4,102,6,0,0,0,0,1,0,1,27,6,0,100278.55,11.515707,3,0,1,1
1,111,5,0,1000,1,5,4,102,6,1,12000,0,0,0,1,1,41,5,1,325633.16,12.693526,7,0,0,1
1,112,3,0,2400,1,5,4,102,4,1,9000,0,0,0,1,1,28,3,1,353190.81,12.774764,5,0,0,1
1,109,2,1,5700,1,5,4,102,6,1,12000,0,0,0,0,1,52,3,1,171442.98,12.052006,17,0,4,1
1,110,1,0,3000,1,5,4,102,6,1,12000,0,0,0,0,1,39,0,1,160173.92,11.984015,9,0,1,1
1,118,6,1,12000,1,5,4,103,2,0,2700,0,0,0,0,1,30,5,1,218358.92,12.293896,8,0,0,1
1,113,4,0,1800,1,5,4,103,5,1,11000,0,0,0,1,1,37,0,1,121027.76,11.703775,7,0,1,1
1,114,6,1,12000,1,5,4,103,6,1,12000,0,0,1,0,0,76,1,1,92830.68,11.438533,3,0,1,1
1,116,3,1,7200,1,5,4,103,3,1,7200,0,0,1,0,1,51,1,1,154304.73,11.946685,4,0,1,1
1,115,6,0,0,1,5,4,103,3,1,7200,0,0,0,1,1,50,2,1,477532.5,13.076387,6,0,1,1
1,133,3,1,7200,1,4,3,104,6,1,12000,0,0,1,0,1,27,0,0,102865.38,11.541177,7,0,1,1
1,132,6,0,0,1,4,3,104,6,0,0,0,0,1,0,1,45,1,0,82919.102,11.325621,3,0,0,1
1,135,4,1,9000,1,4,3,104,4,1,9000,1,1,0,0,1,36,1,1,261036.58,12.472416,8,0,3,1
1,134,6,1,12000,1,4,3,104,6,1,12000,1,1,1,0,1,40,5,0,51991,10.858826,3,0,1,1
1,127,4,1,9000,1,3,2,105,3,1,7200,0,0,0,0,1,36,5,1,428994.97,12.9692,7,0,4,1
1,126,4,1,9000,1,3,2,105,6,1,12000,0,0,0,0,1,34,1,0,413872.41,12.933313,11,0,2,1
1,128,4,0,1800,1,3,2,105,6,1,12000,0,0,1,1,1,34,10,0,214366.19,12.275441,2,0,4,1
1,121,1,0,3000,1,2,1,106,6,0,0,0,0,1,0,1,56,2,1,264959,12.48733,5,0,1,1
1,120,3,0,2400,1,2,1,106,6,0,0,0,0,1,0,1,40,1,0,256107.09,12.453351,9,0,2,1
1,125,6,0,0,1,2,1,108,5,1,11000,0,0,1,0,1,51,2,0,178982.7,12.095044,5,0,1,1
1,117,1,0,3000,1,2,1,108,3,0,2400,1,0,0,1,1,35,0,1,246516.14,12.415183,7,0,1,1
1,106,4,0,1800,1,2,1,112,4,1,9000,0,0,0,1,1,25,6,1,406466.78,12.915257,4,0,2,1
1,107,1,0,3000,1,2,1,112,4,0,1800,0,0,0,1,1,45,0,1,138791.11,11.840725,9,0,2,1
1,105,6,0,0,1,2,1,113,4,0,1800,0,0,0,1,1,43,3,1,437070.59,12.98785,11,0,3,1
1,104,4,0,1800,1,2,1,113,1,0,3000,1,0,1,0,1,35,4,1,163371.7,12.003783,8,0,1,1
